,HUMIDITY,LIGHT_INTENSITY,LPG_CONCENTRATION,TEMPERATURE,MOTOR,SMOKE,BATTERY_VOLTAGE,CARBON_MONOXIDE,TIMESTAMP
0,{'S': '49.2873'},{'S': '31.9719'},{'S': '0'},{'S': '36.9083'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1825'},{'S': '0'},"{'S': '05/15/2023, 17:19:44'}"
1,{'S': '49.6758'},{'S': '26.96'},{'S': '9'},{'S': '36.5446'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5395'},{'S': '-1'},"{'S': '05/15/2023, 15:38:01'}"
2,{'S': '49.3577'},{'S': '28.7621'},{'S': '0'},{'S': '36.9458'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1865'},{'S': '0'},"{'S': '05/15/2023, 17:18:30'}"
3,{'S': '49.7722'},{'S': '22.919'},{'S': '0'},{'S': '36.4483'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5312'},{'S': '0'},"{'S': '05/15/2023, 15:37:09'}"
4,{'S': '53.2891'},{'S': '18.9303'},{'S': '0'},{'S': '36.1594'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5001'},{'S': '0'},"{'S': '05/15/2023, 15:06:42'}"
5,{'S': '49.3421'},{'S': '30.6316'},{'S': '0'},{'S': '36.903'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1911'},{'S': '0'},"{'S': '05/15/2023, 17:18:08'}"
6,{'S': '52.5174'},{'S': '116.083'},{'S': '0'},{'S': '36.4055'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5489'},{'S': '0'},"{'S': '05/15/2023, 15:11:07'}"
7,{'S': '52.3767'},{'S': '178.883'},{'S': '0'},{'S': '12'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5572'},{'S': '0'},"{'S': '05/15/2023, 15:15:50'}"
8,{'S': '49.2899'},{'S': '19.334'},{'S': '0'},{'S': '37.0902'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3087'},{'S': '0'},"{'S': '05/15/2023, 16:43:41'}"
9,{'S': '49.6158'},{'S': '4.92183'},{'S': '0'},{'S': '12'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4999'},{'S': '0'},"{'S': '05/15/2023, 15:21:20'}"
10,{'S': '49.3603'},{'S': '31.2533'},{'S': '0'},{'S': '36.903'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1778'},{'S': '0'},"{'S': '05/15/2023, 17:19:37'}"
11,{'S': '49.1778'},{'S': '26.5959'},{'S': '0'},{'S': '37.1544'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3429'},{'S': '0'},"{'S': '05/15/2023, 16:45:32'}"
12,{'S': '49.3004'},{'S': '31.72'},{'S': '0'},{'S': '36.919'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1714'},{'S': '0'},"{'S': '05/15/2023, 17:19:59'}"
13,{'S': '49.2482'},{'S': '19.334'},{'S': '0'},{'S': '37.0207'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3397'},{'S': '0'},"{'S': '05/15/2023, 16:40:09'}"
14,{'S': '52.7338'},{'S': '41.4379'},{'S': '0'},{'S': '36.2503'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5602'},{'S': '0'},"{'S': '05/15/2023, 15:08:47'}"
15,{'S': '52.653'},{'S': '109.156'},{'S': '0'},{'S': '36.4162'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5593'},{'S': '0'},"{'S': '05/15/2023, 15:10:53'}"
16,{'S': '52.9215'},{'S': '42.9556'},{'S': '0'},{'S': '36.154'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5297'},{'S': '0'},"{'S': '05/15/2023, 15:07:18'}"
17,{'S': '49.2169'},{'S': '19.6236'},{'S': '0'},{'S': '36.812'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1546'},{'S': '0'},"{'S': '05/15/2023, 17:23:11'}"
18,{'S': '50.6847'},{'S': '24.2461'},{'S': '0'},{'S': '36.3092'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4171'},{'S': '0'},"{'S': '05/15/2023, 15:34:19'}"
19,{'S': '52.6921'},{'S': '63466.4'},{'S': '0'},{'S': '36.3252'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5512'},{'S': '0'},"{'S': '05/15/2023, 15:09:39'}"
20,{'S': '49.5558'},{'S': '20.4901'},{'S': '11'},{'S': '37.0956'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3248'},{'S': '331'},"{'S': '05/15/2023, 16:44:23'}"
21,{'S': '49.3316'},{'S': '31.3621'},{'S': '0'},{'S': '36.8976'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.1654'},{'S': '0'},"{'S': '05/15/2023, 17:19:15'}"
22,{'S': '49.1153'},{'S': '18.3868'},{'S': '0'},{'S': '37.0635'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3445'},{'S': '0'},"{'S': '05/15/2023, 16:40:37'}"
23,{'S': '49.7957'},{'S': '23.9079'},{'S': '0'},{'S': '36.475'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5314'},{'S': '0'},"{'S': '05/15/2023, 15:37:17'}"
24,{'S': '49.2482'},{'S': '28.4784'},{'S': '0'},{'S': '37.0474'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.3056'},{'S': '0'},"{'S': '05/15/2023, 16:43:04'}"
25,{'S': '50.2571'},{'S': '17.1653'},{'S': '0'},{'S': '36.8067'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.4646'},{'S': '0'},"{'S': '05/15/2023, 15:40:42'}"
26,{'S': '53.1926'},{'S': '29.243'},{'S': '0'},{'S': '36.1005'},{'S': '0'},{'S': 'sensor_char7'},{'S': '12.5408'},{'S': '0'},"{'S': '05/15/2023, 15:04:32'}"
